"filename", "language", "TypeScript JSX", "JSON", "JSON with Comments", "CSS", "HTML", "Markdown", "TypeScript", "Properties", "JavaScript", "XML", "comment", "blank", "total"
"/Users/mehmetemintellioglu/Desktop/news_project_cursor copy 2/.history/admin-frontend/src/App_20250131151637.tsx", "TypeScript JSX", 71, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 77
"/Users/mehmetemintellioglu/Desktop/news_project_cursor copy 2/.history/admin-frontend/src/App_20250202172318.tsx", "TypeScript JSX", 71, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 77
"/Users/mehmetemintellioglu/Desktop/news_project_cursor copy 2/.history/admin-frontend/src/App_20250202172434.tsx", "TypeScript JSX", 71, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 77
"/Users/mehmetemintellioglu/Desktop/news_project_cursor copy 2/.history/admin-frontend/src/App_20250202172802.tsx", "TypeScript JSX", 70, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 76
"/Users/mehmetemintellioglu/Desktop/news_project_cursor copy 2/.history/admin-frontend/src/App_20250202172823.tsx", "TypeScript JSX", 70, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 76
"/Users/mehmetemintellioglu/Desktop/news_project_cursor copy 2/.history/admin-frontend/src/App_20250202212031.tsx", "TypeScript JSX", 98, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9, 109
"/Users/mehmetemintellioglu/Desktop/news_project_cursor copy 2/.history/admin-frontend/src/App_20250202212237.tsx", "TypeScript JSX", 98, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9, 109
"/Users/mehmetemintellioglu/Desktop/news_project_cursor copy 2/.history/admin-frontend/src/App_20250202212654.tsx", "TypeScript JSX", 103, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9, 113
"/Users/mehmetemintellioglu/Desktop/news_project_cursor copy 2/.history/admin-frontend/src/App_20250202212707.tsx", "TypeScript JSX", 103, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9, 113
"/Users/mehmetemintellioglu/Desktop/news_project_cursor copy 2/.history/admin-frontend/src/components/Layout_20250131145233.tsx", "TypeScript JSX", 144, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 150
"/Users/mehmetemintellioglu/Desktop/news_project_cursor copy 2/.history/admin-frontend/src/components/Layout_20250202174153.tsx", "TypeScript JSX", 147, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 154
